  0.00000000E+00     -0.1485990457613086E-09      0.1638810498252810E-18
  0.10000000E+01     -0.6057401504322229E-03      0.3669211298465582E-06
  0.20000000E+01     -0.4060176234049597E-01      0.2450930858473247E-01
  0.30000000E+01     -0.1201195777075594E+00      0.8424545306634368E-01
  0.40000000E+01     -0.2394427679333904E+00      0.1994462284741625E+00
  0.50000000E+01     -0.3989508703297940E+00      0.4005809745131485E+00
  0.60000000E+01     -0.5986073865442667E+00      0.7275388584706101E+00
  0.70000000E+01     -0.8389259763685161E+00      0.1230936034078404E+01
  0.80000000E+01     -0.1120234363234056E+01      0.1972357486858030E+01
  0.90000000E+01     -0.1442700075840486E+01      0.3023666303993501E+01
  0.10000000E+02     -0.1806722027549588E+01      0.4467427187270657E+01
  0.11000000E+02     -0.2212490017691120E+01      0.6397975437678390E+01
  0.12000000E+02     -0.2660530840452607E+01      0.8923390773568496E+01
  0.13000000E+02     -0.3152150139725292E+01      0.1216980930797915E+02
  0.14000000E+02     -0.3685602533988994E+01      0.1625073732243362E+02
  0.15000000E+02     -0.4262926439405136E+01      0.2132674979188997E+02
  0.16000000E+02     -0.4884700814741353E+01      0.2755883917423437E+02
  0.17000000E+02     -0.5550717113544704E+01      0.3511243912819180E+02
  0.18000000E+02     -0.6261755155115826E+01      0.4417914383528709E+02
  0.19000000E+02     -0.7018423309675419E+01      0.5496496240616824E+02
  0.20000000E+02     -0.7821548272372693E+01      0.6769579383470216E+02
  0.21000000E+02     -0.8671506447492586E+01      0.8261304747307065E+02
  0.22000000E+02     -0.9567207346929495E+01      0.9992606790458649E+02
  0.23000000E+02     -0.1051306407834133E+02      0.1200034367931703E+03
  0.24000000E+02     -0.1150757083677949E+02      0.1430870862464033E+03
  0.25000000E+02     -0.1255140615397572E+02      0.1695031773931543E+03
  0.26000000E+02     -0.1364636937484705E+02      0.1996107401648442E+03
  0.27000000E+02     -0.1479332437063194E+02      0.2338016284387560E+03
  0.28000000E+02     -0.1599264656220052E+02      0.2724350008164572E+03
  0.29000000E+02     -0.1724648999253759E+02      0.3159811240230582E+03
  0.30000000E+02     -0.1855619756905389E+02      0.3649158406557734E+03
  0.31000000E+02     -0.1992128513549966E+02      0.4196788017554273E+03
  0.32000000E+02     -0.2134241998532564E+02      0.4807450300332993E+03
  0.33000000E+02     -0.2282515011942924E+02      0.5489089095118254E+03
  0.34000000E+02     -0.2436543891420010E+02      0.6244855160211594E+03
  0.35000000E+02     -0.2596529207472646E+02      0.7081615577174916E+03
  0.36000000E+02     -0.2762946684858626E+02      0.8007774100884283E+03
  0.37000000E+02     -0.2936011883796518E+02      0.9031508272885642E+03
  0.38000000E+02     -0.3115422650690078E+02      0.1015753340798762E+04
  0.39000000E+02     -0.3301740500590385E+02      0.1139717987725443E+04
  0.40000000E+02     -0.3494794240365721E+02      0.1275629226084172E+04
  0.41000000E+02     -0.3694828689401358E+02      0.1424516116330948E+04
  0.42000000E+02     -0.3901925643511344E+02      0.1587315538017426E+04
  0.43000000E+02     -0.4116320677469010E+02      0.1765034805961547E+04
  0.44000000E+02     -0.4338164213471530E+02      0.1958776325841904E+04
  0.45000000E+02     -0.4567555100258733E+02      0.2169604300475716E+04
  0.46000000E+02     -0.4803936165242281E+02      0.2398032051713597E+04
  0.47000000E+02     -0.5048205242637959E+02      0.2645928760761045E+04
  0.48000000E+02     -0.5299509980775780E+02      0.2913477078172739E+04
  0.49000000E+02     -0.5558287526428376E+02      0.3202272939287314E+04
  0.50000000E+02     -0.5824682162386517E+02      0.3513598748184388E+04
  0.51000000E+02     -0.6097661816644738E+02      0.3847402341112902E+04
  0.52000000E+02     -0.6378050389081111E+02      0.4205634524043651E+04
  0.53000000E+02     -0.6665659750334994E+02      0.4589424009284828E+04
  0.54000000E+02     -0.6959900481812959E+02      0.4998937185541484E+04
  0.55000000E+02     -0.7260732061572683E+02      0.5435389233117258E+04
  0.56000000E+02     -0.7568063427667309E+02      0.5899740840678816E+04
  0.57000000E+02     -0.7881878429540978E+02      0.6393032863145964E+04
  0.58000000E+02     -0.8200950524733391E+02      0.6914675610255668E+04
  0.59000000E+02     -0.8525559742161850E+02      0.7465777384649202E+04
  0.60000000E+02     -0.8855076460840796E+02      0.8046412325748484E+04
  0.61000000E+02     -0.9189675675245856E+02      0.8657854715727313E+04
  0.62000000E+02     -0.9528920788706868E+02      0.9300470300434605E+04
  0.63000000E+02     -0.9873500002402378E+02      0.9976311215295787E+04
  0.64000000E+02     -0.1022088572849927E+03      0.1068130689081381E+05
  0.65000000E+02     -0.1057303950534425E+03      0.1142020621353607E+05
  0.66000000E+02     -0.1092944441251941E+03      0.1219307832977971E+05
  0.67000000E+02     -0.1128929575041563E+03      0.1299892264396259E+05
  0.68000000E+02     -0.1165177827242068E+03      0.1383642828827822E+05
  0.69000000E+02     -0.1201773599641738E+03      0.1470819415612712E+05
  0.70000000E+02     -0.1238632389045372E+03      0.1561298860341504E+05
  0.71000000E+02     -0.1275868497660265E+03      0.1655445368304456E+05
  0.72000000E+02     -0.1313330958952708E+03      0.1752916852014825E+05
  0.73000000E+02     -0.1351028124354127E+03      0.1853802106687870E+05
  0.74000000E+02     -0.1388998353274642E+03      0.1958271488936399E+05
  0.75000000E+02     -0.1427139213645874E+03      0.2066109229287597E+05
  0.76000000E+02     -0.1465560793938071E+03      0.2177655430928658E+05
  0.77000000E+02     -0.1504238857967329E+03      0.2292895685053541E+05
  0.78000000E+02     -0.1543040655714263E+03      0.2411517511228330E+05
  0.79000000E+02     -0.1581933208955073E+03      0.2533414846136785E+05
